Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.585771403,4.441636849,4.445247742,4.234349834,4.195633386,4.195920434,4.327951759,4.410625834,4.433090003,4.430829757,4.553949096,4.573476104,4.7270489,4.664977871,4.696144569,4.929917117,5.164251595,5.277455746,5.195855944,5.176784214,5.386605821,5.490538371,5.496310523,5.602204824,5.671028696,,,,,,,
Afghanistan,AFG,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.772441306,5.541059175,5.482539035,5.299885328,5.348953233,5.29835136,5.288460593,5.334118157,5.436440908,5.268348148,5.417858165,5.438441625,5.77486865,5.82667553,6.12212996,6.217701251,6.448231485,6.572464975,6.608911436,7.025104074,7.031098411,7.026227734,7.025967091,7.312524673,7.684298365,,,,,,,
Angola,AGO,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.59824125,11.43928291,10.7116936,7.86226918,7.860117021,9.046359503,9.982015743,10.47990746,10.99928735,10.70035799,10.73527663,10.71532114,11.64198751,11.11128862,11.98222462,14.26253927,14.50075747,15.49909031,15.91818215,14.77347424,14.76833292,14.71232541,14.55154551,15.25259967,15.13074751,,,,,,,
Albania,ALB,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.935456077,6.10421066,7.805249273,8.726979443,8.887555879,10.72240455,10.96117181,11.44145814,11.29429953,9.501949511,10.1509984,10.78492628,10.23244279,11.03728428,10.59547023,11.17326593,12.12203955,13.45883407,13.94611574,14.08398256,14.74242206,14.44871563,16.32220977,14.17804142,14.33208185,,,,,,,
Andorra,AND,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.981019037,9.618303195,9.16069727,8.732073013,8.486799984,8.546777751,8.612410196,8.714298298,9.100128177,9.185761162,9.384553778,8.878411653,8.504374567,8.792489413,8.978938495,8.96750956,8.854097635,8.856001266,8.679969847,8.246510022,8.114397384,8.297707776,8.014819465,8.228404113,8.107918271,,,,,,,
United Arab Emirates,ARE,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.851802751,8.640390977,9.381106566,9.032146746,8.713685941,8.748760713,8.766757259,8.97880158,8.805862906,8.874052135,10.06179336,7.999763425,8.261571186,9.136332618,9.383250257,9.253930024,9.790257936,9.307773303,8.118631229,7.61158209,7.515844635,7.70605688,7.595524943,7.801723416,8.066171081,,,,,,,
Argentina,ARG,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01626144,10.60393992,10.88350573,11.74249043,11.68264724,11.18902875,11.38719284,11.92886648,11.97847193,11.37806156,11.15602859,11.21063302,10.27802464,10.45457756,10.43424626,11.29001768,11.21272772,12.0664099,11.92349377,11.5367301,12.1957024,12.62652902,12.45292412,12.41681102,11.60147507,,,,,,,
Armenia,ARM,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.377758614,1.991848174,2.280256489,3.917824997,6.56762291,5.884971818,5.752910596,5.68605447,5.990296604,6.400012211,6.168219875,6.790214785,8.216470961,8.871120174,9.271276869,8.804883806,9.786834384,9.97987435,10.13144062,10.01702495,10.7600253,10.30175379,10.09539882,10.68107338,10.84726011,,,,,,,
American Samoa,ASM,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.781471218,,,,,,,,,,,,,,11.15548048,11.70427086,12.63817047,13.53158507,,,,,,,,,,,,,,
Australia,AUS,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.125871636,6.188624518,6.101273009,6.056426016,6.301917479,6.4185383,6.256621215,6.339749592,6.464123706,6.639657344,6.776191658,7.068757463,7.101937519,7.234235784,7.413338789,7.592991549,7.491279397,7.516548568,7.507088125,7.621988701,7.761866527,7.90313844,8.315375755,8.54814894,8.855312708,8.674192784,,,,,,
